PA0,-,TIM2_CH1,TIM5_CH1,-,-,-,-,USART2_CTS,COMP1_OUT,TIM8_BKIN,TIM8_ETR,-,-,-,TIM2_ETR,EVENTOUT
PA1,RTC_REFIN,TIM2_CH2,TIM5_CH2,-,-,-,-,USART2_RTS_DE,-,TIM15_CH1N,-,-,-,-,-,EVENTOUT
PA2,-,TIM2_CH3,TIM5_CH3,-,-,-,-,USART2_TX,COMP2_OUT,TIM15_CH1,QUADSPI1_BK1_NCS,-,LPUART1_TX,-,UCPD1_FRSTX,EVENTOUT
PA3,-,TIM2_CH4,TIM5_CH4,SAI1_CK1,-,-,-,USART2_RX,-,TIM15_CH2,QUADSPI1_CLK,-,LPUART1_RX,SAI1_MCLK_A,-,EVENTOUT
PA4,-,-,TIM3_CH2,-,-,SPI1_NSS,SPI3_NSS/I2S3_WS,USART2_CK,-,-,-,-,-,SAI1_FS_B,-,EVENTOUT
PA5,-,TIM2_CH1,TIM2_ETR,-,-,SPI1_SCK,-,-,-,-,-,-,-,-,UCPD1_FRSTX,EVENTOUT
PA6,-,TIM16_CH1,TIM3_CH1,-,TIM8_BKIN,SPI1_MISO,TIM1_BKIN,-,COMP1_OUT,-,QUADSPI1_BK1_IO3,-,LPUART1_CTS,-,-,EVENTOUT
PA7,-,TIM17_CH1,TIM3_CH2,-,TIM8_CH1N,SPI1_MOSI,TIM1_CH1N,-,COMP2_OUT,-,QUADSPI1_BK1_IO2,-,-,-,UCPD1_FRSTX,EVENTOUT
PA8,MCO,-,I2C3_SCL,-,I2C2_SDA,I2S2_MCK,TIM1_CH1,USART1_CK,COMP7_OUT,-,TIM4_ETR,FDCAN3_RX,SAI1_CK2,HRTIM1_CHA1,SAI1_SCK_A,EVENTOUT
PA9,-,-,I2C3_SMBA,-,I2C2_SCL,I2S3_MCK,TIM1_CH2,USART1_TX,COMP5_OUT,TIM15_BKIN,TIM2_CH3,-,-,HRTIM1_CHA2,SAI1_FS_A,EVENTOUT
PA10,-,TIM17_BKIN,-,USB_CRS_SYNC,I2C2_SMBA,SPI2_MISO,TIM1_CH3,USART1_RX,COMP6_OUT,-,TIM2_CH4,TIM8_BKIN,SAI1_D1,HRTIM1_CHB1,SAI1_SD_A,EVENTOUT
PA11,-,-,-,-,-,SPI2_MOSI/I2S2_SD,TIM1_CH1N,USART1_CTS,COMP1_OUT,FDCAN1_RX,TIM4_CH1,TIM1_CH4,TIM1_BKIN2,HRTIM1_CHB2,-,EVENTOUT
PA12,-,TIM16_CH1,-,-,-,I2SCKIN,TIM1_CH2N,USART1_RTS_DE,COMP2_OUT,FDCAN1_TX,TIM4_CH2,TIM1_ETR,-,HRTIM1_FLT1,-,EVENTOUT
PA13,SWDIO-JTMS,TIM16_CH1N,-,I2C4_SCL,I2C1_SCL,IR_OUT,-,USART3_CTS,-,-,TIM4_CH3,-,-,SAI1_SD_B,-,EVENTOUT
PA14,SWCLK-JTCK,LPTIM1_OUT,-,I2C4_SMBA,I2C1_SDA,TIM8_CH2,TIM1_BKIN,USART2_TX,-,-,-,-,-,SAI1_FS_B,-,EVENTOUT
PA15,JTDI,TIM2_CH1,TIM8_CH1,-,I2C1_SCL,SPI1_NSS,SPI3_NSS/I2S3_WS,USART2_RX,UART4_RTS_DE,TIM1_BKIN,-,FDCAN3_TX,-,HRTIM1_FLT2,TIM2_ETR,EVENTOUT
PB0,-,-,TIM3_CH3,-,TIM8_CH2N,-,TIM1_CH2N,-,-,-,QUADSPI1_BK1_IO1,-,-,HRTIM1_FLT5,UCPD1_FRSTX,EVENTOUT
PB1,-,-,TIM3_CH4,-,TIM8_CH3N,-,TIM1_CH3N,-,COMP4_OUT,-,QUADSPI1_BK1_IO0,-,LPUART1_RTS_DE,HRTIM1_SCOUT,-,EVENTOUT
PB2,RTC_OUT2,LPTIM1_OUT,TIM5_CH1,TIM20_CH1,I2C3_SMBA,-,-,-,-,-,QUADSPI1_BK2_IO1,-,-,HRTIM1_SCIN,-,EVENTOUT
PB3,JTDO-TRACESWO,TIM2_CH2,TIM4_ETR,USB_CRS_SYNC,TIM8_CH1N,SPI1_SCK,SPI3_SCK/I2S3_CK,USART2_TX,-,-,TIM3_ETR,FDCAN3_RX,HRTIM1_SCOUT,HRTIM1_EEV9,SAI1_SCK_B,EVENTOUT
PB4,JTRST,TIM16_CH1,TIM3_CH1,-,TIM8_CH2N,SPI1_MISO,SPI3_MISO,USART2_RX,UART5_RTS_DE,-,TIM17_BKIN,FDCAN3_TX,-,HRTIM1_EEV7,SAI1_MCLK_B,EVENTOUT
PB5,-,TIM16_BKIN,TIM3_CH2,TIM8_CH3N,I2C1_SMBA,SPI1_MOSI,SPI3_MOSI/I2S3_SD,USART2_CK,I2C3_SDA,FDCAN2_RX,TIM17_CH1,LPTIM1_IN1,SAI1_SD_B,HRTIM1_EEV6,UART5_CTS,EVENTOUT
PB6,-,TIM16_CH1N,TIM4_CH1,-,-,TIM8_CH1,TIM8_ETR,USART1_TX,COMP4_OUT,FDCAN2_TX,TIM8_BKIN2,LPTIM1_ETR,HRTIM1_SCIN,HRTIM1_EEV4,SAI1_FS_B,EVENTOUT
PB7,-,TIM17_CH1N,TIM4_CH2,I2C4_SDA,I2C1_SDA,TIM8_BKIN,-,USART1_RX,COMP3_OUT,-,TIM3_CH4,LPTIM1_IN2,FMC_NL,HRTIM1_EEV3,UART4_CTS,EVENTOUT
